epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.384,0.62337,2.04343,1.10347,0.01002,0.67797,0.1746,0.03817,2.37966,3.518,3.15119,0.00014,0.00014,0.09314
2,622.047,0.46572,1.19892,0.97867,0.00704,0.64407,0.02048,0.00481,2.64779,2.88618,3.32776,0.00028515,0.00028515,0.0852852
3,665.376,0.49185,0.89588,0.97982,0.00804,0.74576,0.16688,0.04551,2.29313,2.7777,3.45397,0.00041446,0.00041446,0.0774145
4,705.884,0.48978,0.82384,0.99794,0.0073,0.5678,0.15605,0.0518,2.76449,2.44507,5.65655,0.00052793,0.00052793,0.0695279
5,748.397,0.48111,0.67897,1.0001,0.35786,0.45812,0.23414,0.07335,2.07913,2.36093,3.57711,0.00062556,0.00062556,0.0616256
6,823.537,0.51884,0.65395,1.01222,0.88283,0.12774,0.47117,0.32361,0.91221,2.30644,1.27771,0.00070735,0.00070735,0.0537074
7,862.426,0.55034,0.63185,1.01228,0.26783,0.31356,0.20418,0.1112,1.18519,2.43257,1.771,0.0007733,0.0007733,0.0457733
8,899.386,0.52328,0.59302,1.01361,0.84805,0.70339,0.86026,0.73867,0.50213,1.51708,0.93851,0.00082341,0.00082341,0.0378234
9,939.888,0.46389,0.59441,0.96483,0.94553,0.73559,0.94926,0.8002,0.56522,1.5887,0.98262,0.00085768,0.00085768,0.0298577
10,984.088,0.46044,0.5366,0.96226,0.94313,0.90678,0.98487,0.87377,0.48538,1.38451,0.90607,0.00087611,0.00087611,0.0218761
11,1020.39,0.43482,0.66943,1.0146,0.97097,0.56699,0.8792,0.66658,0.67077,2.2029,1.0244,0.0008787,0.0008787,0.0138787
12,1051.82,0.42307,0.61423,1.02548,0.92339,0.66102,0.92236,0.74912,0.52751,1.89538,0.97803,0.00086545,0.00086545,0.00586545
13,1088.59,0.43706,0.56265,1.02947,0.82221,0.83051,0.91213,0.78526,0.453,1.37663,0.89736,0.000812,0.000812,0.000812
14,1128.93,0.40821,0.55311,0.98668,0.94056,0.93878,0.98236,0.88104,0.39377,0.80966,0.80396,0.000713,0.000713,0.000713
15,1163.06,0.35727,0.48023,0.93684,0.96369,0.94915,0.99066,0.93808,0.35174,0.56483,0.79255,0.000614,0.000614,0.000614
16,1199.83,0.36443,0.45809,0.9411,0.99676,0.97458,0.99412,0.92775,0.36065,0.5192,0.76405,0.000515,0.000515,0.000515
17,1232.9,0.34483,0.46424,0.88958,0.99516,0.98305,0.99451,0.94259,0.31485,0.49705,0.74705,0.000416,0.000416,0.000416
18,1267.03,0.33945,0.43831,0.95005,0.99715,1,0.995,0.94006,0.31926,0.40441,0.74128,0.000317,0.000317,0.000317
19,1317.77,0.28908,0.42691,0.87814,0.99836,1,0.995,0.9405,0.33613,0.39119,0.72907,0.000218,0.000218,0.000218
20,1349.18,0.28089,0.37239,0.88199,0.99908,1,0.995,0.95366,0.29236,0.36397,0.70229,0.000119,0.000119,0.000119
